timestamp,equity,cash,realised_pnl,unrealised_pnl,open_positions,total_trades
2026-04-07T21:28:29.683433,100000.0,100000.0,0.0,0,0,0
2026-04-07T21:36:15.458146,100000.0,100000.0,0.0,0,0,0
2026-04-07T21:40:29.617129,100000.0,100000.0,0.0,0,0,0
2026-04-07T21:48:18.601403,100000.0,100000.0,0.0,0,0,0
2026-04-07T21:54:26.332196,100000.0,100000.0,0.0,0,0,0
2026-04-07T21:55:47.807861,100000.0,100000.0,0.0,0,0,0
2026-04-07T22:19:38.634385,100000.0,100000.0,0.0,0,0,0
2026-04-08T10:46:13.126051,100000.0,100000.0,0.0,0,0,0
2026-04-08T10:51:09.918586,100000.0,100000.0,0.0,0,0,0
2026-04-08T10:55:45.444020,100000.0,100000.0,0.0,0,0,0
2026-04-08T10:59:11.293402,100000.0,100000.0,0.0,0,0,0
