timestamp,equity,cash,realised_pnl,unrealised_pnl,open_positions,total_trades
2026-03-25T22:06:17.696360,100000.0,100000.0,0.0,0,0,0
2026-03-25T22:06:35.948042,100000.0,100000.0,0.0,0,0,0
2026-03-25T22:06:57.268046,100000.0,100000.0,0.0,0,0,0
2026-03-26T08:13:31.494974,100000.0,100000.0,0.0,0,0,0
2026-03-26T08:14:23.720593,100000.0,100000.0,0.0,0,0,0
2026-03-26T08:14:33.587995,100000.0,100000.0,0.0,0,0,0
2026-03-26T08:14:55.047276,100000.0,100000.0,0.0,0,0,0
2026-03-26T08:50:31.364762,100000.0,100000.0,0.0,0,0,0
2026-03-26T08:50:54.509051,99965.22,99980.0,0.0,-14.78,1,1
2026-03-26T08:52:16.657828,99965.22,99980.0,0.0,-14.78,1,1
2026-03-26T08:55:45.663919,99965.22,99980.0,0.0,-14.78,1,1
2026-03-26T08:55:51.430612,99965.22,99980.0,0.0,-14.78,1,1
2026-03-26T08:59:23.964607,99965.22,99980.0,0.0,-14.78,1,1
2026-03-26T17:25:34.743397,100000.0,100000.0,0.0,0,0,0
2026-03-26T17:27:31.358957,100000.0,100000.0,0.0,0,0,0
2026-03-27T01:21:26.995535,100000.0,100000.0,0.0,0,0,0
2026-03-27T11:25:44.253507,100000.0,100000.0,0.0,0,0,0
2026-03-30T21:54:33.704142,100000.0,100000.0,0.0,0,0,0
2026-03-31T13:53:41.529407,100000.0,100000.0,0.0,0,0,0
2026-04-09T11:33:30.040135,100000.0,100000.0,0.0,0,0,0
2026-04-09T11:38:13.572319,100000.0,100000.0,0.0,0,0,0
2026-04-09T11:48:23.756302,100000.0,100000.0,0.0,0,0,0
2026-04-09T11:57:50.239600,100000.0,100000.0,0.0,0,0,0
2026-04-09T12:03:29.351514,100000.0,100000.0,0.0,0,0,0
2026-04-09T12:16:11.705212,100000.0,100000.0,0.0,0,0,0
2026-04-09T12:17:23.333967,100000.0,100000.0,0.0,0,0,0
2026-04-09T13:35:44.982498,100000.0,100000.0,0.0,0,0,0
2026-05-16T09:59:49.488527,100000.0,100000.0,0.0,0,0,0
2026-05-19T20:38:10.736314,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T20:39:24.190686,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T20:40:10.746811,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T20:40:48.023776,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T20:41:26.289501,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T20:42:10.973541,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T21:31:31.870759,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T21:31:53.130005,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T23:30:03.958376,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T23:30:23.604160,10000.0,10000.0,0.0,0.0,0,0
2026-05-19T23:32:01.930366,10000.0,10000.0,0.0,0.0,0,0
2026-05-20T20:30:05.567705,10000.0,10000.0,0.0,0.0,0,0
